guid,loginDateFormat,loginDay
1385695,2018-05-10 11:08:15,2018-05-10
2049178,2018-05-10 11:08:30,2018-05-10
902547,2018-05-10 11:08:32,2018-05-10
1390865,2018-05-10 11:08:45,2018-05-10
857400,2018-05-10 11:08:47,2018-05-10
2043364,2018-05-10 11:08:51,2018-05-10
2064721,2018-05-10 11:08:52,2018-05-10
2006790,2018-05-10 11:08:57,2018-05-10
681283,2018-05-10 11:08:57,2018-05-10
831102,2018-05-10 11:09:33,2018-05-10
2040382,2018-05-10 11:09:35,2018-05-10
1681257,2018-05-10 11:09:51,2018-05-10
1900068,2018-05-10 11:10:02,2018-05-10
2004202,2018-05-10 11:10:05,2018-05-10
1557251,2018-05-10 11:10:06,2018-05-10
1351016,2018-05-10 11:10:07,2018-05-10
1598449,2018-05-10 11:10:19,2018-05-10
1870581,2018-05-10 11:10:24,2018-05-10
1221070,2018-05-10 11:10:26,2018-05-10
807168,2018-05-10 11:10:28,2018-05-10
1485103,2018-05-10 11:10:35,2018-05-10
1633841,2018-05-10 11:10:41,2018-05-10
1911537,2018-05-10 11:10:41,2018-05-10
2031320,2018-05-10 11:10:48,2018-05-10
1386057,2018-05-10 11:11:04,2018-05-10
1175726,2018-05-10 11:11:08,2018-05-10
1187829,2018-05-10 11:11:12,2018-05-10
1332089,2018-05-10 11:11:12,2018-05-10
1215852,2018-05-10 11:11:18,2018-05-10
854527,2018-05-10 11:11:34,2018-05-10
2106129,2018-05-10 11:11:35,2018-05-10
1253121,2018-05-10 11:11:35,2018-05-10
1900723,2018-05-10 11:11:41,2018-05-10
1947161,2018-05-10 11:11:51,2018-05-10
1193209,2018-05-10 11:12:02,2018-05-10
596305,2018-05-10 11:12:11,2018-05-10
1804859,2018-05-10 11:12:34,2018-05-10
1155038,2018-05-10 11:12:37,2018-05-10
1134811,2018-05-10 11:12:44,2018-05-10
1289796,2018-05-10 11:12:47,2018-05-10
1177445,2018-05-10 11:12:48,2018-05-10
1413670,2018-05-10 11:13:06,2018-05-10
649749,2018-05-10 11:13:07,2018-05-10
1382623,2018-05-10 11:13:12,2018-05-10
166223,2018-05-10 11:13:17,2018-05-10
1829607,2018-05-10 11:13:18,2018-05-10
1538007,2018-05-10 11:13:23,2018-05-10
1616718,2018-05-10 11:13:31,2018-05-10
2064632,2018-05-10 11:13:33,2018-05-10
857400,2018-05-10 11:13:34,2018-05-10
1416333,2018-05-10 11:13:40,2018-05-10
731396,2018-05-10 11:13:41,2018-05-10
994835,2018-05-10 11:13:42,2018-05-10
1596838,2018-05-10 11:13:44,2018-05-10
2105005,2018-05-10 11:13:46,2018-05-10
1150542,2018-05-10 11:13:50,2018-05-10
582772,2018-05-10 11:14:08,2018-05-10
1632824,2018-05-10 11:14:08,2018-05-10
1250851,2018-05-10 11:14:13,2018-05-10
1696524,2018-05-10 11:14:26,2018-05-10
2109695,2018-05-10 11:14:42,2018-05-10
2068742,2018-05-10 11:14:43,2018-05-10
2034024,2018-05-10 11:14:46,2018-05-10
1592546,2018-05-10 11:14:57,2018-05-10
1175449,2018-05-10 11:15:00,2018-05-10
1420052,2018-05-10 11:15:04,2018-05-10
1871399,2018-05-10 11:15:06,2018-05-10
1902742,2018-05-10 11:15:10,2018-05-10
1223691,2018-05-10 11:15:20,2018-05-10
1978176,2018-05-10 11:15:34,2018-05-10
613930,2018-05-10 11:15:35,2018-05-10
991041,2018-05-10 11:15:37,2018-05-10
1161070,2018-05-10 11:15:45,2018-05-10
1975700,2018-05-10 11:15:48,2018-05-10
1343855,2018-05-10 11:15:53,2018-05-10
1580267,2018-05-10 11:16:01,2018-05-10
1232264,2018-05-10 11:16:10,2018-05-10
1134790,2018-05-10 11:16:13,2018-05-10
975066,2018-05-10 11:16:18,2018-05-10
1342704,2018-05-10 11:16:20,2018-05-10
1488224,2018-05-10 11:16:30,2018-05-10
1803445,2018-05-10 11:16:42,2018-05-10
1835130,2018-05-10 11:16:46,2018-05-10
682002,2018-05-10 11:16:46,2018-05-10
1251312,2018-05-10 11:16:47,2018-05-10
1175367,2018-05-10 11:16:50,2018-05-10
756901,2018-05-10 11:16:51,2018-05-10
1873369,2018-05-10 11:16:52,2018-05-10
985768,2018-05-10 11:16:52,2018-05-10
1847458,2018-05-10 11:17:09,2018-05-10
2115624,2018-05-10 11:17:17,2018-05-10
1750907,2018-05-10 11:17:17,2018-05-10
1382623,2018-05-10 11:17:21,2018-05-10
1183707,2018-05-10 11:17:22,2018-05-10
1447653,2018-05-10 11:17:29,2018-05-10
1235173,2018-05-10 11:17:31,2018-05-10
1619598,2018-05-10 11:17:33,2018-05-10
1998645,2018-05-10 11:17:36,2018-05-10
1175726,2018-05-10 11:17:49,2018-05-10
254350,2018-05-10 11:17:50,2018-05-10
795916,2018-05-10 11:17:51,2018-05-10
930751,2018-05-10 11:17:54,2018-05-10
1177588,2018-05-10 11:17:56,2018-05-10
1937214,2018-05-10 11:18:01,2018-05-10
1665124,2018-05-10 11:18:07,2018-05-10
621557,2018-05-10 11:18:08,2018-05-10
2100059,2018-05-10 11:18:17,2018-05-10
983476,2018-05-10 11:18:18,2018-05-10
859698,2018-05-10 11:18:20,2018-05-10
1396635,2018-05-10 11:18:24,2018-05-10
2096474,2018-05-10 11:18:39,2018-05-10
-4,2018-05-10 11:18:44,2018-05-10
1963363,2018-05-10 11:18:46,2018-05-10
670500,2018-05-10 11:18:46,2018-05-10
616507,2018-05-10 11:18:48,2018-05-10
978048,2018-05-10 11:18:50,2018-05-10
1830995,2018-05-10 11:18:56,2018-05-10
1207864,2018-05-10 11:18:56,2018-05-10
1556909,2018-05-10 11:18:59,2018-05-10
2108471,2018-05-10 11:19:03,2018-05-10
1191178,2018-05-10 11:19:05,2018-05-10
848226,2018-05-10 11:19:08,2018-05-10
1644033,2018-05-10 11:19:11,2018-05-10
2011030,2018-05-10 11:19:11,2018-05-10
1785944,2018-05-10 11:19:15,2018-05-10
1180111,2018-05-10 11:19:16,2018-05-10
2084040,2018-05-10 11:19:19,2018-05-10
1819910,2018-05-10 11:19:31,2018-05-10
1900068,2018-05-10 11:19:31,2018-05-10
1949859,2018-05-10 11:19:35,2018-05-10
1677906,2018-05-10 11:19:43,2018-05-10
1925303,2018-05-10 11:19:45,2018-05-10
2115698,2018-05-10 11:19:56,2018-05-10
1196740,2018-05-10 11:20:00,2018-05-10
2060431,2018-05-10 11:20:10,2018-05-10
1552867,2018-05-10 11:20:10,2018-05-10
757045,2018-05-10 11:20:15,2018-05-10
2064632,2018-05-10 11:20:16,2018-05-10
1489420,2018-05-10 11:20:31,2018-05-10
339011,2018-05-10 11:20:32,2018-05-10
1815814,2018-05-10 11:20:35,2018-05-10
1944059,2018-05-10 11:20:39,2018-05-10
1599980,2018-05-10 11:20:39,2018-05-10
630950,2018-05-10 11:20:48,2018-05-10
889624,2018-05-10 11:20:57,2018-05-10
1552867,2018-05-10 11:21:12,2018-05-10
2115701,2018-05-10 11:21:15,2018-05-10
1250246,2018-05-10 11:21:17,2018-05-10
1677960,2018-05-10 11:21:20,2018-05-10
1553150,2018-05-10 11:21:20,2018-05-10
1915401,2018-05-10 11:21:24,2018-05-10
1162980,2018-05-10 11:21:33,2018-05-10
1206178,2018-05-10 11:21:46,2018-05-10
784346,2018-05-10 11:21:50,2018-05-10
1215243,2018-05-10 11:21:50,2018-05-10
2080958,2018-05-10 11:21:55,2018-05-10
1597188,2018-05-10 11:21:57,2018-05-10
1380625,2018-05-10 11:22:00,2018-05-10
1993883,2018-05-10 11:22:10,2018-05-10
1160436,2018-05-10 11:22:25,2018-05-10
1275298,2018-05-10 11:22:25,2018-05-10
-5,2018-05-10 11:22:31,2018-05-10
1376890,2018-05-10 11:22:52,2018-05-10
2095996,2018-05-10 11:22:54,2018-05-10
1643923,2018-05-10 11:22:54,2018-05-10
1205025,2018-05-10 11:23:10,2018-05-10
1270873,2018-05-10 11:23:15,2018-05-10
1234969,2018-05-10 11:23:16,2018-05-10
1295724,2018-05-10 11:23:17,2018-05-10
166223,2018-05-10 11:23:19,2018-05-10
2057399,2018-05-10 11:23:23,2018-05-10
2085393,2018-05-10 11:23:23,2018-05-10
1161070,2018-05-10 11:23:40,2018-05-10
2053754,2018-05-10 11:23:43,2018-05-10
1425020,2018-05-10 11:23:43,2018-05-10
948066,2018-05-10 11:23:45,2018-05-10
1221886,2018-05-10 11:23:49,2018-05-10
676646,2018-05-10 11:23:51,2018-05-10
993426,2018-05-10 11:23:55,2018-05-10
630695,2018-05-10 11:23:56,2018-05-10
1229057,2018-05-10 11:23:59,2018-05-10
1839800,2018-05-10 11:24:14,2018-05-10
1344346,2018-05-10 11:24:15,2018-05-10
899324,2018-05-10 11:24:24,2018-05-10
980671,2018-05-10 11:24:25,2018-05-10
970113,2018-05-10 11:24:27,2018-05-10
1195594,2018-05-10 11:24:33,2018-05-10
1202314,2018-05-10 11:24:49,2018-05-10
2085393,2018-05-10 11:24:51,2018-05-10
630917,2018-05-10 11:25:01,2018-05-10
1179275,2018-05-10 11:25:13,2018-05-10
619560,2018-05-10 11:25:28,2018-05-10
1186154,2018-05-10 11:25:35,2018-05-10
1179354,2018-05-10 11:25:44,2018-05-10
