user_id,nickname,user_rank,rank,gold,diamond,log1,log1_r
1,超人YY,9,1级中尉,17,20364,0,0
9,别废话,11,3级中尉,57,5214,0,0
11000001,可爱豆苗宝宝,11,3级中尉,2,765,0,0
11000006,娃娃机6,3,下士,384800,0,0,0
11000012,qq我妹,2,列兵,48000,0,0,0
11000017,洋弟的爸比,2,列兵,4000,0,0,0
11010001,大王_试播帐号09,12,1级上尉,34200,0,0,0
11010002,爱笑德柏,12,1级上尉,5000,0,0,0
11010003,爱笑肥龙,12,1级上尉,400,0,0,0
11010004,感恩节活动04,7,1级少尉,63400,0,0,0
11010005,感恩节活动05,3,下士,130000,0,0,0
20000000,大王主播,1,新兵,1000,0,0,0
20000002,bugbang,1,新兵,6532,0,0,0
20000012,坦克战舰大神,1,新兵,1000,0,0,0
20000015,&#8238;,7,1级少尉,6236,26414,0,0
20000020,我的天那12,5,上士,0,353,0,0
20000033,mj_ff73,1,新兵,23710,0,0,0
20000035,魔力鸟丶,2,列兵,2,0,0,0
20000043,内裤我天天洗,2,列兵,50,121039,0,0
20000077,P&P.阿布,1,新兵,600,1000,0,0
20000082,大王名宿达文西,11,3级中尉,2163201,21628,0,0
20000083,瘦瘦哒哒,18,1级上校,1210189,4228967,0,0
20000086,男神大象蚂蚁怪怪,9,1级中尉,555,3531,0,0
20000093,P&P.铁板烧,8,2级少尉,0,1528,0,0
20000098,Evan牧,19,2级上校,9,0,0,0
20000100,我们的生活q,1,新兵,8,2000,0,0
20000102,YADI❤大蚂蚁,16,1级中校,15,9642,0,0
20000105,纳兰如沁,1,新兵,98,0,0,0
20000108,刀爷.,13,2级上尉,31,0,0,0
20000113,工体薛之谦,18,1级上校,79,0,0,0
20000115,奇妙飞天,17,2级中校,44,16302,0,0
20000116,吾名琉璃,11,3级中尉,29,0,0,0
20000117,水牛你个土豆,1,新兵,3009,0,0,0
20000122,黑心的小纯洁,3,下士,4,888,0,0
20000124,EVIL,14,1级少校,1,0,0,0
20000135,∵随欲∴心安卍,1,新兵,100,0,0,0
20000138,oO妮子Oo,2,列兵,97,0,0,0
20000142,青椒小炒肉,14,1级少校,3506,15708,0,0
20000148,P&P虎王,1,新兵,1200,0,0,0
20000160,小董_1988,1,新兵,105,0,0,0
20000161,瓦萨比,7,1级少尉,21795,143358,0,0
20000163,草莓的小猫咪,7,1级少尉,55427,6529,0,0
20000164,小超人不会飞,5,上士,9052,0,0,0
20000168,一个啦啦啦,1,新兵,7728,0,0,0
20000177,V♏,1,新兵,6144,0,0,0
20000179,长腿先生腿很长,9,1级中尉,29633,1000,0,0
20000180,迪卡,1,新兵,7,0,0,0
20000181,✨✨三脚猫✨✨,1,新兵,86,1000,0,0
20000182,P&P.K1n9,1,新兵,15,0,0,0
20000187,你好！三月,2,列兵,28406,0,0,0
20000188,Another,1,新兵,678,2000,0,0
20000189,高冷❉腹肌,12,1级上尉,8,0,0,0
20000191,美丽的大官人,1,新兵,186,11316,0,0
20000192,三里屯脏街豆,11,3级中尉,6840,13776,0,0
20000193,言若--言,9,1级中尉,134,25109,0,0
20000194,吃货最怕做饿梦,2,列兵,200,0,0,0
20000206,正式,2,列兵,168,6352,0,0
20000217,你的带带＊,7,1级少尉,64,5750,0,0
20000218,Dcat,1,新兵,1878,0,0,0
20000225,老实人12,12,1级上尉,3,6279,0,0
20000226,大妞儿,1,新兵,6000,0,0,0
20000228,YN_空小白白,5,上士,0,7014,0,0
20000230,大的点点滴滴,1,新兵,0,3000,0,0
20000231,不会刷礼物,4,中士,158,0,0,0
20000233,KoaTV_羊驼,17,2级中校,11,100787,0,0
20000234,KoaTV_甩锅侠,11,3级中尉,471,0,0,0
20000235,YaTo_恨,8,2级少尉,0,6769,0,0
20000236,KoaTV_老郭,13,2级上尉,4782,419,0,0
20000241,RG.平凡,10,2级中尉,4,2235,0,0
20000243,YATO-白狼,1,新兵,6300,0,0,0
20000250,KoaTV-雷欧,10,2级中尉,172,0,0,0
20000251,KoaTV铁神带你飞,11,3级中尉,22200,0,0,0
20000252,喵喵骑_lulu,11,3级中尉,86,1000,0,0
20000254,"叫""春""的男人",5,上士,634,0,0,0
20000255,YaTo_中队,11,3级中尉,8,0,0,0
20000256,喵喵骑_老湿大大大人,13,2级上尉,4,0,0,0
20000257,大王TV_长沙张学友,5,上士,200,0,0,0
20000260,RG小榆,7,1级少尉,58,142,0,0
20000262,勇敢小白兔,1,新兵,6000,0,0,0
20000263,琬琬Vicky,3,下士,16400,0,0,0
20000264,季念,1,新兵,9,0,0,0
20000265,心有猛虎_细嗅蔷薇,7,1级少尉,1550,313859,0,0
20000267,KOATV_禽兽,7,1级少尉,0,1776,0,0
20000274,超人一一,1,新兵,7782,0,0,0
20000278,sinbad014,1,新兵,0,1000,0,0
20000280,三脚猫爱吃鱼,4,中士,627,17490,0,0
20000281,会发光,1,新兵,903,0,0,0
20000283,小少爷,2,列兵,500,0,0,0
20000287,[表情]小西酱[表,1,新兵,2902,0,0,0
20000290,驼驼_小*周,8,2级少尉,0,688,0,0
20000294,黑小宝,1,新兵,84,0,0,0
20000296,✨✂,1,新兵,4,1000,0,0
20000300,Juuuuuu,7,1级少尉,118,5440,0,0
20000301,sinbad,1,新兵,8,4900,0,0
20000302,爽大爷,1,新兵,15400,0,0,0
20000304,大象腿毛弯弯,5,上士,11,13133,0,0
20000310,大王,4,中士,58991,55546,0,0
20000311,ka~nan,8,2级少尉,9,0,0,0
20000318,小丸子,4,中士,3100,0,0,0
20000322,小了个皓丶,2,列兵,5600,0,0,0
